id,api_id,name,address_line1,address_line2,city,county,postcode,nation,country,full_address,latitude,longitude,website,store_url
29668,/api/store_locators/29668,Hudspeth Flooring,Unit 1 & 2 Brompton Business Park,Station Rd,Brompton on Swale,North Yorkshire,DL10 7SN,England,United Kingdom,"Unit 1 & 2 Brompton Business Park, Station Rd, Brompton on Swale, North Yorkshire, DL10 7SN, United Kingdom",54.3924593,-1.6602615,http://www.hudspethflooring.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/north-yorkshire/brompton-on-swale/29668-hudspeth-flooring?locale=en_GB
30246,/api/store_locators/30246,Image Flooring Benfleet,197 High Road,,South Benfleet,England,SS7 5HY,England,United Kingdom,"197 High Road, South Benfleet, England, SS7 5HY, United Kingdom",51.55,0.556,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/south-benfleet/30246-image-flooring-benfleet?locale=en_GB
30245,/api/store_locators/30245,Image Flooring Chelmsford,38 Moulsham Street,,Chelmsford,England,CM2 0HY,England,United Kingdom,"38 Moulsham Street, Chelmsford, England, CM2 0HY, United Kingdom",51.726879,0.467620,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/chelmsford/30245-image-flooring-chelmsford?locale=en_GB
29713,/api/store_locators/29713,Inspired Flooring Earby,17 Colne Rd,Earby,Barnoldswick,England,BB18 6XB,England,United Kingdom,"17 Colne Rd, Earby, Barnoldswick, England, BB18 6XB, United Kingdom",53.912877,-2.1932683,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/barnoldswick/29713-inspired-flooring-earby?locale=en_GB
29685,/api/store_locators/29685,Iroka Interiors,15-16 Hayle Business Park,,Hayle,Cornwall,TR27 5JR,England,United Kingdom,"15-16 Hayle Business Park, Hayle, Cornwall, TR27 5JR, United Kingdom",50.188766,-5.4187704,https://www.iroka.com/,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/cornwall/hayle/29685-iroka-interiors?locale=en_GB
29937,/api/store_locators/29937,Islandwide Carpets,4 Star Street,Ryde,Isle of Wight,England,PO33 2HX,England,United Kingdom,"4 Star Street, Ryde, Isle of Wight, England, PO33 2HX, United Kingdom",50.727902,-1.162223,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/isle-of-wight/29937-islandwide-carpets?locale=en_GB
29729,/api/store_locators/29729,JA flooring,3 William St,,Northampton,England,NN1 3EW,England,United Kingdom,"3 William St, Northampton, England, NN1 3EW, United Kingdom",52.2432445,-0.8948649,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/northampton/29729-ja-flooring?locale=en_GB
29681,/api/store_locators/29681,Jeff Wynn,50 Station Rd,,Redcar,England,TS10 1AG,England,United Kingdom,"50 Station Rd, Redcar, England, TS10 1AG, United Kingdom",54.6186786,-1.0704099,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/redcar/29681-jeff-wynn?locale=en_GB
29881,/api/store_locators/29881,Jim Youngman Carpets,66 King Street,,Whitehaven,Cumbria,CA28 7LE,England,United Kingdom,"66 King Street, Whitehaven, Cumbria, CA28 7LE, United Kingdom",54.54907,-3.58902,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/cumbria/whitehaven/29881-jim-youngman-carpets?locale=en_GB
29889,/api/store_locators/29889,JL Flooring,Unit 3 Old Priory Works,Titchfield,Portsmouth,England,PO14 4BQ,England,United Kingdom,"Unit 3 Old Priory Works, Titchfield, Portsmouth, England, PO14 4BQ, United Kingdom",50.851200,-1.242880,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/portsmouth/29889-jl-flooring?locale=en_GB
29736,/api/store_locators/29736,JSR Flooring,72 Ravensdale,,Gt Clacton,Essex,CO15 4QH,England,United Kingdom,"72 Ravensdale, Gt Clacton, Essex, CO15 4QH, United Kingdom",51.8063369,1.1553937,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/essex/gt-clacton/29736-jsr-flooring?locale=en_GB
29854,/api/store_locators/29854,Kinghall Flooring,69a Gedling Road,Carlton,Nottinghamshire,England,NG4 3FG,England,United Kingdom,"69a Gedling Road, Carlton, Nottinghamshire, England, NG4 3FG, United Kingdom",52.97150,-1.08229,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/nottinghamshire/29854-kinghall-flooring?locale=en_GB
29700,/api/store_locators/29700,Knights flooring,Aztec centre 26 nuffield road,Nuffield Ind Estate,Poole,England,BH17 0RT,England,United Kingdom,"Aztec centre 26 nuffield road, Nuffield Ind Estate, Poole, England, BH17 0RT, United Kingdom",50.741607,-1.976238,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/poole/29700-knights-flooring?locale=en_GB
29690,/api/store_locators/29690,Lewis Carpets,Unit 2 Plot 2 Simmonds rd,Wincheap ind estate,Canterbury,England,CT1 3RA,England,United Kingdom,"Unit 2 Plot 2 Simmonds rd, Wincheap ind estate, Canterbury, England, CT1 3RA, United Kingdom",51.2734048,1.0694292,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/canterbury/29690-lewis-carpets?locale=en_GB
29900,/api/store_locators/29900,LT Carpets & Flooring,"Unit 2, 91 London Road",,Copford,England,CO6 1LG,England,United Kingdom,"Unit 2, 91 London Road, Copford, England, CO6 1LG, United Kingdom",51.880650,0.801590,http://ltflooring.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/copford/29900-lt-carpets-flooring?locale=en_GB
